"strata","time","n.risk","n.event","surv","std.err","lower","upper"
"Trt=CsPlus",157.383333333333,41,1,0.625,0.0605153647844909,0.516966953612638,0.755609226605795
"Trt=CsPlus",158.15,40,1,0.609375,0.0609863085781093,0.500836879261071,0.741434798437501
"Trt=CsPlus",160.066666666667,39,1,0.59375,0.061391537677741,0.484833426876253,0.727134399068528
"Trt=CsPlus",161.066666666667,38,1,0.578125,0.0617323462081215,0.468953968735493,0.712710709168807
"Trt=CsPlus",163.383333333333,37,1,0.5625,0.0620097963530763,0.453196322230022,0.698165970198245
"Trt=CsPlus",163.483333333333,36,1,0.546875,0.0622247356331015,0.437558715008835,0.683502020109371
"Trt=CsPlus",164.533333333333,35,1,0.53125,0.0623778102448098,0.422039757673214,0.668720321649243
"Trt=CsPlus",165.233333333333,34,1,0.515625,0.0624694749676542,0.406638423002581,0.653821984311876
"Trt=CsPlus",165.85,33,1,0.5,0.0625,0.391354030966396,0.638807780726464
"Trt=CsPlus",167.283333333333,32,1,0.484375,0.0624694749676542,0.376186239001295,0.623678158052433
"Trt=CsPlus",167.8,31,1,0.46875,0.0623778102448098,0.361135037224039,0.60843324477455
"Trt=CsPlus",169.283333333333,30,1,0.453125,0.0622247356331015,0.346200748421701,0.593072853138089
"Trt=CsPlus",173.833333333333,29,1,0.4375,0.0620097963530763,0.331384032821834,0.577596477326076
"Trt=CsPlus",184.833333333333,28,1,0.421875,0.0617323462081215,0.316685897807007,0.562003287350239
"Trt=CsPlus",185.516666666667,27,1,0.40625,0.061391537677741,0.302107712909964,0.546292118497437
"Trt=CsPlus",186.266666666667,26,1,0.390625,0.0609863085781093,0.287651230618729,0.530461456037536
"Trt=CsPlus",187.85,25,1,0.375,0.0605153647844909,0.273318613748369,0.514509414750166
"Trt=CsPlus",188.216666666667,24,1,0.359375,0.0599771583311878,0.259112470414422,0.498433712659364
"Trt=CsPlus",188.433333333333,23,1,0.34375,0.0593698599748854,0.245035897994433,0.482231638168725
"Trt=CsPlus",189.266666666667,22,1,0.328125,0.0586913250051434,0.231092537919255,0.465900009556428
"Trt=CsPlus",190.2,21,1,0.3125,0.0579390506804348,0.217286643738161,0.449435125509507
"Trt=CsPlus",190.466666666667,20,1,0.296875,0.057110123114115,0.203623165714213,0.432832705040534
"Trt=CsPlus",191.916666666667,19,1,0.28125,0.0562011506638209,0.190107856321804,0.416087814730292
"Trt=CsPlus",194.666666666667,18,1,0.265625,0.0552081797855569,0.176747402577035,0.399194780779015
"Trt=CsPlus",200.933333333333,17,1,0.25,0.0541265877365274,0.163549593349669,0.382147082850734
"Trt=CsPlus",207.033333333333,16,1,0.234375,0.0529509441864295,0.150523533022949,0.364937226238405
"Trt=CsPlus",210.083333333333,15,1,0.21875,0.0516748302942303,0.137679917633081,0.347556588663315
"Trt=CsPlus",213.816666666667,14,1,0.203125,0.0502905983968114,0.125031396842042,0.32999523853297
"Trt=CsPlus",217.15,13,1,0.1875,0.0487890468624875,0.112593056324732,0.312241723846673
"Trt=CsPlus",225.8,12,1,0.171875,0.0471589705767564,0.100383073116089,0.294282837813075
"Trt=CsPlus",230.2,11,1,0.15625,0.0453865235883681,0.0884236261672066,0.276103385014246
"Trt=CsPlus",231.666666666667,10,1,0.140625,0.0434542880103261,0.0767421953659929,0.257686016547855
"Trt=CsPlus",232.433333333333,9,1,0.125,0.0413398642353842,0.0653734738188393,0.239011315863365
"Trt=Gr63aMinus",26.65,40,1,0.975,0.0246855220726644,0.927798108727978,1
"Trt=Gr63aMinus",30.8833333333333,39,1,0.95,0.0344601218802255,0.884804413157851,1
"Trt=Gr63aMinus",43.25,38,1,0.925,0.0416458281223942,0.84687340944188,1
"Trt=Gr63aMinus",44.25,37,1,0.9,0.0474341649025257,0.811671410405463,0.997940779502597
"Trt=Gr63aMinus",49.6166666666667,36,1,0.875,0.0522912516583797,0.778285664634367,0.983732625166217
"Trt=Gr63aMinus",50.05,35,1,0.85,0.0564579489531811,0.746244544029642,0.968181282905702
"Trt=Gr63aMinus",53.1833333333333,34,1,0.825,0.0600780742034896,0.715266406015525,0.95156852646205
"Trt=Gr63aMinus",53.2833333333333,33,1,0.8,0.0632455532033676,0.685167250375447,0.934078503678194
"Trt=Gr63aMinus",54.2166666666667,32,1,0.775,0.0660255632312213,0.65581931620794,0.915839142209042
"Trt=Gr63aMinus",55.3,31,1,0.75,0.0684653196881458,0.627129960173383,0.896943274476131
"Trt=Gr63aMinus",58.1833333333333,30,1,0.725,0.0706001062322147,0.599029847976793,0.877460450051502
"Trt=Gr63aMinus",59.35,29,1,0.7,0.0724568837309472,0.571465885506425,0.857444009218099
"Trt=Gr63aMinus",60.5166666666667,28,1,0.675,0.0740565662179931,0.544396758578093,0.836935548973592
"Trt=Gr63aMinus",60.8833333333333,27,1,0.65,0.0754155156449918,0.517790000647464,0.815967862399216
"Trt=Gr63aMinus",61.3,26,1,0.625,0.0765465544619743,0.491620002739209,0.794566937519864
"Trt=Gr63aMinus",62.9833333333333,25,1,0.6,0.0774596669241483,0.46586663064962,0.772753351099656
"Trt=Gr63aMinus",64.4833333333333,24,1,0.575,0.0781624910043174,0.440514249491332,0.750543257980367
"Trt=Gr63aMinus",64.6833333333333,23,1,0.55,0.0786606636127614,0.415551032185233,0.727949100280804
